Date : 2023-06-07 18:34:14
Directory : c:\Users\Fire and Ice\Documents\GitHub\frontend2\src
Total : 1322 files,  159544 codes, 12148 comments, 8730 blanks, all 180422 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ..\..\frontend\plate\src\app\User\c\components\view-transaction-history                                                                                                           |          4 |       -921 |       -628 |       -177 |     -1,726 |
| ..\..\frontend\plate\src\app\User\c\components\view-transacton                                                                                                                    |          4 |        -98 |          0 |        -18 |       -116 |
| ..\..\frontend\plate\src\app\User\c\guards                                                                                                                                        |          2 |        -30 |          0 |         -9 |        -39 |
| ..\..\frontend\plate\src\app\User\payloads                                                                                                                                        |         33 |       -274 |          0 |        -56 |       -330 |
| ..\..\frontend\plate\src\app\User\payloads (Files)                                                                                                                                |         25 |       -176 |          0 |        -47 |       -223 |
| ..\..\frontend\plate\src\app\User\payloads\edit-transaction-payload                                                                                                               |          2 |        -15 |          0 |          0 |        -15 |
| ..\..\frontend\plate\src\app\User\payloads\recon                                                                                                                                  |          6 |        -83 |          0 |         -9 |        -92 |
| ..\..\frontend\plate\src\app\User\services                                                                                                                                        |         20 |       -916 |        -63 |       -174 |     -1,153 |
| ..\..\frontend\plate\src\app\User\services (Files)                                                                                                                                |         16 |       -798 |        -55 |       -154 |     -1,007 |
| ..\..\frontend\plate\src\app\User\services\dashboard                                                                                                                              |          2 |        -25 |         -1 |         -7 |        -33 |
| ..\..\frontend\plate\src\app\User\services\upload                                                                                                                                 |          2 |        -93 |         -7 |        -13 |       -113 |
| ..\..\frontend\plate\src\app\c                                                                                                                                                    |         45 |     -2,468 |     -1,113 |       -253 |     -3,834 |
| ..\..\frontend\plate\src\app\c (Files)                                                                                                                                            |          1 |        -35 |         -9 |         -2 |        -46 |
| ..\..\frontend\plate\src\app\c\components                                                                                                                                         |         36 |     -2,268 |     -1,104 |       -223 |     -3,595 |
| ..\..\frontend\plate\src\app\c\components\exceptions                                                                                                                              |          4 |        -34 |          0 |        -10 |        -44 |
| ..\..\frontend\plate\src\app\c\components\home                                                                                                                                    |         16 |     -2,070 |     -1,103 |       -167 |     -3,340 |
| ..\..\frontend\plate\src\app\c\components\home (Files)                                                                                                                            |          4 |       -982 |       -388 |        -33 |     -1,403 |
| ..\..\frontend\plate\src\app\c\components\home\footer                                                                                                                             |          4 |        -43 |         -1 |         -9 |        -53 |
| ..\..\frontend\plate\src\app\c\components\home\header                                                                                                                             |          4 |       -737 |       -449 |        -63 |     -1,249 |
| ..\..\frontend\plate\src\app\c\components\home\leftside-menu                                                                                                                      |          4 |       -308 |       -265 |        -62 |       -635 |
| ..\..\frontend\plate\src\app\c\components\ip-users                                                                                                                                |          4 |        -34 |          0 |        -10 |        -44 |
| ..\..\frontend\plate\src\app\c\components\log-info                                                                                                                                |          4 |        -34 |          0 |        -10 |        -44 |
| ..\..\frontend\plate\src\app\c\components\navigator-upper                                                                                                                         |          4 |        -62 |         -1 |        -16 |        -79 |
| ..\..\frontend\plate\src\app\c\components\timeline                                                                                                                                |          4 |        -34 |          0 |        -10 |        -44 |
| ..\..\frontend\plate\src\app\c\guards                                                                                                                                             |          8 |       -165 |          0 |        -28 |       -193 |
| ..\..\frontend\plate\src\app\c\guards\roles_guard                                                                                                                                 |          8 |       -165 |          0 |        -28 |       -193 |
| ..\..\frontend\plate\src\app\landing-page                                                                                                                                         |          8 |       -260 |        -12 |        -43 |       -315 |
| ..\..\frontend\plate\src\app\landing-page (Files)                                                                                                                                 |          4 |       -233 |        -12 |        -32 |       -277 |
| ..\..\frontend\plate\src\app\landing-page\landing-page-header                                                                                                                     |          4 |        -27 |          0 |        -11 |        -38 |
| ..\..\frontend\plate\src\app\services                                                                                                                                             |          4 |       -263 |        -10 |        -27 |       -300 |
| ..\..\frontend\plate\src\app\services (Files)                                                                                                                                     |          2 |       -234 |        -10 |        -19 |       -263 |
| ..\..\frontend\plate\src\app\services\util-service                                                                                                                                |          2 |        -29 |          0 |         -8 |        -37 |
| ..\..\frontend\plate\src\app\utils_                                                                                                                                               |         24 |       -524 |       -101 |        -62 |       -687 |
| ..\..\frontend\plate\src\app\utils_ (Files)                                                                                                                                       |          2 |        -13 |        -81 |         -7 |       -101 |
| ..\..\frontend\plate\src\app\utils_\chart_js                                                                                                                                      |          1 |         -1 |         -1 |          0 |         -2 |
| ..\..\frontend\plate\src\app\utils_\interceptors                                                                                                                                  |          1 |        -36 |         -5 |         -3 |        -44 |
| ..\..\frontend\plate\src\app\utils_\page-not-found                                                                                                                                |          4 |        -57 |         -6 |        -13 |        -76 |
| ..\..\frontend\plate\src\app\utils_\payloads                                                                                                                                      |          8 |        -52 |          0 |         -3 |        -55 |
| ..\..\frontend\plate\src\app\utils_\payloads\Add-assignment                                                                                                                       |          1 |         -7 |          0 |         -1 |         -8 |
| ..\..\frontend\plate\src\app\utils_\payloads\Auth                                                                                                                                 |          7 |        -45 |          0 |         -2 |        -47 |
| ..\..\frontend\plate\src\app\utils_\terms-and-conditions                                                                                                                          |          4 |       -305 |          0 |        -23 |       -328 |
| ..\..\frontend\plate\src\app\utils_\validators                                                                                                                                    |          4 |        -60 |         -8 |        -13 |        -81 |
| app                                                                                                                                                                               |        639 |    100,189 |     20,218 |      6,947 |    127,354 |
| app (Files)                                                                                                                                                                       |          6 |        899 |         74 |        104 |      1,077 |
| app\Admin                                                                                                                                                                         |         54 |      5,700 |      1,201 |        284 |      7,185 |
| app\Admin\c                                                                                                                                                                       |         40 |      5,404 |      1,179 |        235 |      6,818 |
| app\Admin\c\change-password                                                                                                                                                       |          4 |        457 |          4 |         25 |        486 |
| app\Admin\c\functionalities                                                                                                                                                       |          4 |        418 |          5 |         20 |        443 |
| app\Admin\c\functionalities_role_based                                                                                                                                            |          4 |        430 |         66 |         19 |        515 |
| app\Admin\c\logins                                                                                                                                                                |          4 |        410 |        147 |         21 |        578 |
| app\Admin\c\mm                                                                                                                                                                    |          4 |        278 |        127 |         20 |        425 |
| app\Admin\c\register-actor                                                                                                                                                        |          8 |      1,000 |        194 |         43 |      1,237 |
| app\Admin\c\register-actor (Files)                                                                                                                                                |          4 |        816 |        180 |         26 |      1,022 |
| app\Admin\c\register-actor\multi-dropdown-role                                                                                                                                    |          4 |        184 |         14 |         17 |        215 |
| app\Admin\c\roles                                                                                                                                                                 |          4 |        695 |        294 |         29 |      1,018 |
| app\Admin\c\user-activities                                                                                                                                                       |          4 |        383 |         78 |         19 |        480 |
| app\Admin\c\users                                                                                                                                                                 |          4 |      1,333 |        264 |         39 |      1,636 |
| app\Admin\guards                                                                                                                                                                  |          2 |         47 |          0 |          7 |         54 |
| app\Admin\payloads                                                                                                                                                                |          9 |         80 |         14 |          9 |        103 |
| app\Admin\services                                                                                                                                                                |          2 |        153 |          2 |         29 |        184 |
| app\Admin\validators                                                                                                                                                              |          1 |         16 |          6 |          4 |         26 |
| app\Approver                                                                                                                                                                      |         49 |      5,180 |        221 |        561 |      5,962 |
| app\Approver\c                                                                                                                                                                    |         40 |      4,963 |        221 |        515 |      5,699 |
| app\Approver\c\remark                                                                                                                                                             |         16 |      1,788 |         64 |        205 |      2,057 |
| app\Approver\c\remark\send-account-remark                                                                                                                                         |          4 |        311 |          6 |         36 |        353 |
| app\Approver\c\remark\send-currency-remark                                                                                                                                        |          4 |        311 |          6 |         32 |        349 |
| app\Approver\c\remark\view-account-remark                                                                                                                                         |          4 |        582 |         27 |         67 |        676 |
| app\Approver\c\remark\view-currency-remark                                                                                                                                        |          4 |        584 |         25 |         70 |        679 |
| app\Approver\c\requests                                                                                                                                                           |         24 |      3,175 |        157 |        310 |      3,642 |
| app\Approver\c\requests\account-requests                                                                                                                                          |          4 |        870 |         42 |         68 |        980 |
| app\Approver\c\requests\approved-account-requests                                                                                                                                 |          4 |        357 |         14 |         45 |        416 |
